subscription_id,account_id,plan_id,started_at,ended_at,status,seats,mrr
SUB00037,ACC00037,PLN_SCALE,2023-01-07,2023-05-09,cancelled,75,799
SUB00038,ACC00038,PLN_GROWTH,2023-01-07,2023-03-12,cancelled,13,199
SUB00039,ACC00039,PLN_GROWTH,2023-01-08,2023-10-20,cancelled,16,199
SUB00040,ACC00040,PLN_SCALE,2023-01-08,2025-12-20,cancelled,74,799
SUB00041,ACC00041,PLN_STARTER,2023-01-08,2023-03-24,cancelled,3,49
SUB00042,ACC00042,PLN_STARTER,2023-01-08,2023-09-04,cancelled,4,49
SUB00043,ACC00043,PLN_SCALE,2023-01-08,2023-05-05,cancelled,99,799
SUB00044,ACC00044,PLN_STARTER,2023-01-08,2023-11-15,cancelled,4,49
SUB00045,ACC00045,PLN_STARTER,2023-01-09,2023-09-10,cancelled,5,49
SUB00046,ACC00046,PLN_SCALE,2023-01-09,2025-12-16,cancelled,99,799
SUB00047,ACC00047,PLN_STARTER,2023-01-09,2023-11-23,cancelled,3,49
SUB00048,ACC00048,PLN_SCALE,2023-01-09,2025-01-26,cancelled,97,799
SUB00049,ACC00049,PLN_STARTER,2023-01-10,2023-10-17,cancelled,4,49
SUB00050,ACC00050,PLN_GROWTH,2023-01-10,,active,17,199
SUB00051,ACC00051,PLN_GROWTH,2023-01-10,2023-11-12,cancelled,20,199
SUB00052,ACC00052,PLN_STARTER,2023-01-10,2023-04-11,cancelled,5,49
SUB00053,ACC00053,PLN_SCALE,2023-01-10,2023-04-17,cancelled,63,799
SUB00054,ACC00054,PLN_STARTER,2023-01-10,2023-07-20,cancelled,4,49
SUB00055,ACC00055,PLN_ENTERPRISE,2023-01-11,2023-07-05,cancelled,552,2499
SUB00056,ACC00056,PLN_STARTER,2023-01-11,2023-05-06,cancelled,5,49
SUB00057,ACC00057,PLN_GROWTH,2023-01-11,2023-04-09,cancelled,14,199
SUB00058,ACC00058,PLN_STARTER,2023-01-11,2023-02-25,cancelled,3,49
SUB00059,ACC00059,PLN_STARTER,2023-01-11,2023-06-26,cancelled,5,49
SUB00060,ACC00060,PLN_STARTER,2023-01-11,2023-12-09,cancelled,5,49
SUB00061,ACC00061,PLN_GROWTH,2023-01-11,2023-03-10,cancelled,22,199
SUB00062,ACC00062,PLN_STARTER,2023-01-11,2023-05-12,cancelled,4,49
SUB00063,ACC00063,PLN_ENTERPRISE,2023-01-11,2024-08-02,cancelled,460,2499
SUB00064,ACC00064,PLN_SCALE,2023-01-12,2023-02-16,cancelled,107,799
SUB00065,ACC00065,PLN_STARTER,2023-01-12,2023-02-11,cancelled,3,49
SUB00066,ACC00066,PLN_SCALE,2023-01-12,,active,63,799
SUB00067,ACC00067,PLN_GROWTH,2023-01-12,2023-03-21,cancelled,23,199
SUB00068,ACC00068,PLN_STARTER,2023-01-12,2025-02-13,cancelled,4,49
SUB00069,ACC00069,PLN_SCALE,2023-01-12,2023-08-10,cancelled,92,799
SUB00070,ACC00070,PLN_STARTER,2023-01-13,2023-05-04,cancelled,4,49
SUB00071,ACC00071,PLN_SCALE,2023-01-13,2024-08-16,cancelled,90,799
SUB00072,ACC00072,PLN_STARTER,2023-01-13,2023-07-10,cancelled,4,49
SUB00073,ACC00073,PLN_STARTER,2023-01-13,2023-06-17,cancelled,5,49
SUB00074,ACC00074,PLN_GROWTH,2023-01-13,2024-05-06,cancelled,16,199
SUB00075,ACC00075,PLN_SCALE,2023-01-13,2023-02-18,cancelled,62,799
SUB00076,ACC00076,PLN_GROWTH,2023-01-13,2023-07-06,cancelled,18,199
SUB00077,ACC00077,PLN_ENTERPRISE,2023-01-13,2023-11-01,cancelled,514,2499
SUB00078,ACC00078,PLN_ENTERPRISE,2023-01-14,2025-07-04,cancelled,572,2499
SUB00079,ACC00079,PLN_SCALE,2023-01-14,2024-11-23,cancelled,78,799
SUB00080,ACC00080,PLN_STARTER,2023-01-14,2024-05-03,cancelled,4,49
SUB00081,ACC00081,PLN_STARTER,2023-01-14,2024-04-19,cancelled,3,49
SUB00082,ACC00082,PLN_SCALE,2023-01-14,2023-03-01,cancelled,79,799
SUB00083,ACC00083,PLN_STARTER,2023-01-14,2023-05-15,cancelled,3,49
SUB00084,ACC00084,PLN_GROWTH,2023-01-15,2023-03-15,cancelled,13,199
SUB00085,ACC00085,PLN_STARTER,2023-01-15,2023-04-09,cancelled,5,49
SUB00086,ACC00086,PLN_ENTERPRISE,2023-01-15,2023-03-13,cancelled,532,2499
SUB00087,ACC00087,PLN_STARTER,2023-01-15,2023-08-28,cancelled,4,49
SUB00088,ACC00088,PLN_GROWTH,2023-01-16,2023-09-06,cancelled,21,199
SUB00089,ACC00089,PLN_STARTER,2023-01-16,2024-03-14,cancelled,4,49
SUB00090,ACC00090,PLN_GROWTH,2023-01-16,2024-05-13,cancelled,14,199
SUB00091,ACC00091,PLN_GROWTH,2023-01-16,2024-02-19,cancelled,18,199
SUB00092,ACC00092,PLN_STARTER,2023-01-16,2023-07-14,cancelled,4,49
SUB00093,ACC00093,PLN_SCALE,2023-01-16,2023-08-12,cancelled,65,799
SUB00094,ACC00094,PLN_SCALE,2023-01-16,2024-04-08,cancelled,111,799
SUB00095,ACC00095,PLN_SCALE,2023-01-16,2024-08-15,cancelled,103,799
SUB00096,ACC00096,PLN_STARTER,2023-01-16,2023-03-12,cancelled,5,49
SUB00097,ACC00097,PLN_STARTER,2023-01-17,2024-10-07,cancelled,3,49
SUB00098,ACC00098,PLN_STARTER,2023-01-17,2025-06-13,cancelled,5,49
SUB00099,ACC00099,PLN_GROWTH,2023-01-17,,active,16,199
SUB00100,ACC00100,PLN_GROWTH,2023-01-17,2023-07-13,cancelled,17,199
SUB00101,ACC00101,PLN_GROWTH,2023-01-17,2024-12-24,cancelled,13,199
SUB00102,ACC00102,PLN_STARTER,2023-01-17,2023-06-13,cancelled,5,49
SUB00103,ACC00103,PLN_GROWTH,2023-01-18,2025-03-18,cancelled,14,199
SUB00104,ACC00104,PLN_ENTERPRISE,2023-01-18,2023-12-21,cancelled,311,2499
SUB00105,ACC00105,PLN_GROWTH,2023-01-18,2023-09-05,cancelled,20,199
SUB00106,ACC00106,PLN_GROWTH,2023-01-18,2023-07-19,cancelled,22,199
SUB00107,ACC00107,PLN_GROWTH,2023-01-18,2024-11-15,cancelled,21,199
SUB00108,ACC00108,PLN_ENTERPRISE,2023-01-18,2024-06-17,cancelled,440,2499
SUB00109,ACC00109,PLN_GROWTH,2023-01-19,2023-06-09,cancelled,18,199
SUB00110,ACC00110,PLN_SCALE,2023-01-19,2025-04-10,cancelled,78,799
SUB00111,ACC00111,PLN_GROWTH,2023-01-19,2023-08-15,cancelled,18,199
SUB00112,ACC00112,PLN_SCALE,2023-01-19,2023-09-27,cancelled,66,799
SUB00113,ACC00113,PLN_GROWTH,2023-01-20,2023-03-16,cancelled,15,199
SUB00114,ACC00114,PLN_GROWTH,2023-01-20,2023-09-03,cancelled,14,199
SUB00115,ACC00115,PLN_STARTER,2023-01-20,2023-12-17,cancelled,5,49
SUB00116,ACC00116,PLN_STARTER,2023-01-20,2023-08-18,cancelled,5,49
SUB00117,ACC00117,PLN_SCALE,2023-01-21,2023-03-09,cancelled,65,799
SUB00118,ACC00118,PLN_GROWTH,2023-01-21,2025-02-22,cancelled,21,199
SUB00119,ACC00119,PLN_SCALE,2023-01-21,2023-05-19,cancelled,61,799
SUB00120,ACC00120,PLN_SCALE,2023-01-21,2023-08-13,cancelled,104,799
SUB00121,ACC00121,PLN_SCALE,2023-01-21,2023-02-18,cancelled,66,799
SUB00122,ACC00122,PLN_STARTER,2023-01-21,2023-03-05,cancelled,6,49
SUB00123,ACC00123,PLN_STARTER,2023-01-21,2023-08-07,cancelled,5,49
SUB00124,ACC00124,PLN_STARTER,2023-01-21,2023-07-14,cancelled,5,49
SUB00125,ACC00125,PLN_SCALE,2023-01-21,2023-10-15,cancelled,60,799
SUB00126,ACC00126,PLN_STARTER,2023-01-21,2023-06-11,cancelled,4,49
SUB00127,ACC00127,PLN_GROWTH,2023-01-21,2023-06-12,cancelled,20,199
SUB00128,ACC00128,PLN_SCALE,2023-01-22,2024-03-08,cancelled,112,799
SUB00129,ACC00129,PLN_GROWTH,2023-01-22,2023-12-18,cancelled,20,199
SUB00130,ACC00130,PLN_SCALE,2023-01-22,2024-09-05,cancelled,110,799
SUB00131,ACC00131,PLN_SCALE,2023-01-22,2023-02-24,cancelled,90,799
SUB00132,ACC00132,PLN_GROWTH,2023-01-23,2023-05-01,cancelled,13,199
SUB00133,ACC00133,PLN_STARTER,2023-01-23,2025-01-18,cancelled,3,49
SUB00134,ACC00134,PLN_STARTER,2023-01-23,2024-02-12,cancelled,4,49
SUB00135,ACC00135,PLN_GROWTH,2023-01-23,2024-09-25,cancelled,22,199
SUB00136,ACC00136,PLN_SCALE,2023-01-23,2025-08-20,cancelled,72,799
SUB00137,ACC00137,PLN_ENTERPRISE,2023-01-23,2023-04-22,cancelled,314,2499
SUB00138,ACC00138,PLN_GROWTH,2023-01-23,2023-02-26,cancelled,16,199
SUB00139,ACC00139,PLN_GROWTH,2023-01-23,,active,21,199
SUB00140,ACC00140,PLN_ENTERPRISE,2023-01-23,2023-03-07,cancelled,530,2499
SUB00141,ACC00141,PLN_SCALE,2023-01-24,2023-03-09,cancelled,110,799
SUB00142,ACC00142,PLN_GROWTH,2023-01-24,2023-12-23,cancelled,23,199
SUB00143,ACC00143,PLN_GROWTH,2023-01-24,2023-03-13,cancelled,17,199
SUB00144,ACC00144,PLN_ENTERPRISE,2023-01-24,2023-03-20,cancelled,563,2499
SUB00145,ACC00145,PLN_SCALE,2023-01-24,2024-01-27,cancelled,89,799
SUB00146,ACC00146,PLN_STARTER,2023-01-24,2023-10-28,cancelled,3,49
SUB00147,ACC00147,PLN_STARTER,2023-01-24,2023-06-01,cancelled,3,49
SUB00148,ACC00148,PLN_GROWTH,2023-01-24,2023-03-09,cancelled,22,199
SUB00149,ACC00149,PLN_ENTERPRISE,2023-01-24,2023-11-13,cancelled,512,2499
SUB00150,ACC00150,PLN_GROWTH,2023-01-24,2024-02-18,cancelled,22,199
SUB00151,ACC00151,PLN_GROWTH,2023-01-25,2023-05-16,cancelled,20,199
SUB00152,ACC00152,PLN_STARTER,2023-01-25,2023-02-04,cancelled,5,49
SUB00153,ACC00153,PLN_STARTER,2023-01-25,2023-12-03,cancelled,4,49
SUB00154,ACC00154,PLN_STARTER,2023-01-25,2023-03-26,cancelled,6,49
SUB00155,ACC00155,PLN_SCALE,2023-01-25,2023-06-06,cancelled,88,799
SUB00156,ACC00156,PLN_SCALE,2023-01-25,2023-05-26,cancelled,91,799
SUB00157,ACC00157,PLN_STARTER,2023-01-25,2023-12-28,cancelled,4,49
SUB00158,ACC00158,PLN_ENTERPRISE,2023-01-26,2023-03-25,cancelled,553,2499
SUB00159,ACC00159,PLN_STARTER,2023-01-26,2023-04-04,cancelled,4,49
SUB00160,ACC00160,PLN_ENTERPRISE,2023-01-26,2023-12-26,cancelled,316,2499
SUB00161,ACC00161,PLN_SCALE,2023-01-26,2023-09-25,cancelled,100,799
SUB00162,ACC00162,PLN_ENTERPRISE,2023-01-26,2023-05-09,cancelled,574,2499
SUB00163,ACC00163,PLN_SCALE,2023-01-26,2023-02-13,cancelled,64,799
SUB00164,ACC00164,PLN_SCALE,2023-01-26,2023-10-05,cancelled,63,799
SUB00165,ACC00165,PLN_SCALE,2023-01-27,2023-07-23,cancelled,95,799
SUB00166,ACC00166,PLN_STARTER,2023-01-28,2023-02-17,cancelled,3,49
SUB00167,ACC00167,PLN_GROWTH,2023-01-28,2025-07-28,cancelled,14,199
SUB00168,ACC00168,PLN_SCALE,2023-01-28,2023-04-22,cancelled,114,799
SUB00169,ACC00169,PLN_ENTERPRISE,2023-01-28,2023-05-07,cancelled,476,2499
SUB00170,ACC00170,PLN_STARTER,2023-01-28,,active,5,49
SUB00171,ACC00171,PLN_GROWTH,2023-01-29,2024-08-06,cancelled,13,199
SUB00172,ACC00172,PLN_SCALE,2023-01-29,2025-07-14,cancelled,108,799
SUB00173,ACC00173,PLN_STARTER,2023-01-29,2023-02-21,cancelled,5,49
SUB00174,ACC00174,PLN_STARTER,2023-01-29,2023-03-13,cancelled,4,49
SUB00175,ACC00175,PLN_GROWTH,2023-01-29,2023-02-20,cancelled,21,199
SUB00176,ACC00176,PLN_SCALE,2023-01-30,2025-04-27,cancelled,104,799
SUB00177,ACC00177,PLN_GROWTH,2023-01-30,2023-06-06,cancelled,13,199
SUB00178,ACC00178,PLN_ENTERPRISE,2023-01-30,2023-07-22,cancelled,481,2499
SUB00179,ACC00179,PLN_STARTER,2023-01-30,2023-02-27,cancelled,5,49
SUB00180,ACC00180,PLN_SCALE,2023-01-30,2025-08-09,cancelled,91,799
SUB00181,ACC00181,PLN_SCALE,2023-01-30,2023-03-04,cancelled,88,799
SUB00182,ACC00182,PLN_STARTER,2023-01-30,2023-08-21,cancelled,3,49
SUB00183,ACC00183,PLN_STARTER,2023-01-30,2024-04-23,cancelled,3,49
SUB00184,ACC00184,PLN_STARTER,2023-01-30,2023-02-14,cancelled,4,49
SUB00185,ACC00185,PLN_STARTER,2023-01-30,2023-07-15,cancelled,4,49
SUB00186,ACC00186,PLN_STARTER,2023-01-31,2023-02-20,cancelled,5,49
SUB00187,ACC00187,PLN_STARTER,2023-01-31,2023-03-15,cancelled,3,49
SUB00188,ACC00188,PLN_ENTERPRISE,2023-01-31,2024-01-09,cancelled,449,2499
SUB00189,ACC00189,PLN_SCALE,2023-01-31,2023-04-26,cancelled,105,799
SUB00190,ACC00190,PLN_STARTER,2023-01-31,2023-02-02,cancelled,5,49
SUB00191,ACC00191,PLN_STARTER,2023-01-31,2023-02-08,cancelled,3,49
SUB00192,ACC00192,PLN_SCALE,2023-02-01,2023-12-05,cancelled,91,799
SUB00193,ACC00193,PLN_STARTER,2023-02-01,2023-07-21,cancelled,4,49
SUB00194,ACC00194,PLN_SCALE,2023-02-01,2023-05-03,cancelled,114,799
SUB00195,ACC00195,PLN_STARTER,2023-02-01,2023-07-16,cancelled,5,49
SUB00196,ACC00196,PLN_SCALE,2023-02-01,2023-04-12,cancelled,96,799
SUB00197,ACC00197,PLN_GROWTH,2023-02-01,2023-10-08,cancelled,21,199
SUB00198,ACC00198,PLN_SCALE,2023-02-01,2023-11-24,cancelled,93,799
SUB00199,ACC00199,PLN_ENTERPRISE,2023-02-01,2024-04-08,cancelled,300,2499
SUB00200,ACC00200,PLN_STARTER,2023-02-01,2023-12-24,cancelled,5,49
SUB00201,ACC00201,PLN_STARTER,2023-02-01,2023-03-01,cancelled,5,49
SUB00202,ACC00202,PLN_SCALE,2023-02-01,2025-01-13,cancelled,98,799
SUB00203,ACC00203,PLN_SCALE,2023-02-01,2023-10-06,cancelled,80,799
SUB00204,ACC00204,PLN_ENTERPRISE,2023-02-02,2023-06-23,cancelled,572,2499
SUB00205,ACC00205,PLN_STARTER,2023-02-02,2023-04-16,cancelled,4,49
SUB00206,ACC00206,PLN_ENTERPRISE,2023-02-02,2023-06-22,cancelled,497,2499
SUB00207,ACC00207,PLN_STARTER,2023-02-02,2023-03-22,cancelled,4,49
SUB00208,ACC00208,PLN_SCALE,2023-02-02,2023-03-13,cancelled,111,799
SUB00209,ACC00209,PLN_STARTER,2023-02-02,2024-02-14,cancelled,3,49
SUB00210,ACC00210,PLN_STARTER,2023-02-02,2023-08-27,cancelled,5,49
SUB00211,ACC00211,PLN_STARTER,2023-02-02,2023-05-24,cancelled,5,49
SUB00212,ACC00212,PLN_STARTER,2023-02-02,2025-03-02,cancelled,5,49
SUB00213,ACC00213,PLN_STARTER,2023-02-03,2023-04-09,cancelled,5,49
SUB00214,ACC00214,PLN_STARTER,2023-02-03,2023-08-19,cancelled,3,49
SUB00215,ACC00215,PLN_SCALE,2023-02-03,2023-04-10,cancelled,73,799
SUB00216,ACC00216,PLN_GROWTH,2023-02-03,2023-04-17,cancelled,21,199
SUB00217,ACC00217,PLN_STARTER,2023-02-03,2023-03-04,cancelled,5,49
SUB00218,ACC00218,PLN_ENTERPRISE,2023-02-03,2023-06-22,cancelled,307,2499
SUB00219,ACC00219,PLN_ENTERPRISE,2023-02-03,2024-06-08,cancelled,341,2499
SUB00220,ACC00220,PLN_STARTER,2023-02-04,2023-08-13,cancelled,5,49
SUB00221,ACC00221,PLN_SCALE,2023-02-04,2024-11-04,cancelled,60,799
SUB00222,ACC00222,PLN_STARTER,2023-02-04,2023-08-16,cancelled,4,49
SUB00223,ACC00223,PLN_GROWTH,2023-02-04,2024-08-20,cancelled,17,199
SUB00224,ACC00224,PLN_STARTER,2023-02-04,2023-03-21,cancelled,4,49
SUB00225,ACC00225,PLN_STARTER,2023-02-04,2023-04-21,cancelled,4,49
SUB00226,ACC00226,PLN_GROWTH,2023-02-04,2023-03-09,cancelled,15,199
SUB00227,ACC00227,PLN_STARTER,2023-02-04,2024-08-21,cancelled,3,49
SUB00228,ACC00228,PLN_STARTER,2023-02-04,2023-11-10,cancelled,5,49
SUB00229,ACC00229,PLN_GROWTH,2023-02-04,2023-08-23,cancelled,18,199
SUB00230,ACC00230,PLN_GROWTH,2023-02-05,2023-03-09,cancelled,18,199
SUB00231,ACC00231,PLN_SCALE,2023-02-05,2023-03-20,cancelled,64,799
SUB00232,ACC00232,PLN_GROWTH,2023-02-05,2024-02-16,cancelled,16,199
SUB00233,ACC00233,PLN_STARTER,2023-02-05,2023-03-16,cancelled,5,49
SUB00234,ACC00234,PLN_STARTER,2023-02-05,2023-04-22,cancelled,3,49
SUB00235,ACC00235,PLN_STARTER,2023-02-05,2023-08-07,cancelled,5,49
SUB00236,ACC00236,PLN_GROWTH,2023-02-05,2023-09-11,cancelled,20,199
SUB00237,ACC00237,PLN_STARTER,2023-02-05,2024-02-09,cancelled,4,49
SUB00238,ACC00238,PLN_GROWTH,2023-02-06,2023-06-16,cancelled,22,199
SUB00239,ACC00239,PLN_GROWTH,2023-02-06,2023-10-01,cancelled,18,199
SUB00240,ACC00240,PLN_SCALE,2023-02-07,2024-03-06,cancelled,89,799
SUB00241,ACC00241,PLN_ENTERPRISE,2023-02-07,2024-10-12,cancelled,336,2499
SUB00242,ACC00242,PLN_STARTER,2023-02-07,2023-12-24,cancelled,5,49
SUB00243,ACC00243,PLN_STARTER,2023-02-07,2023-03-23,cancelled,5,49
SUB00244,ACC00244,PLN_SCALE,2023-02-07,2024-03-15,cancelled,61,799
SUB00245,ACC00245,PLN_STARTER,2023-02-07,2023-10-06,cancelled,4,49
SUB00246,ACC00246,PLN_ENTERPRISE,2023-02-07,2023-04-27,cancelled,380,2499
SUB00247,ACC00247,PLN_STARTER,2023-02-07,2023-11-12,cancelled,5,49
SUB00248,ACC00248,PLN_SCALE,2023-02-08,2023-09-12,cancelled,69,799
SUB00249,ACC00249,PLN_STARTER,2023-02-08,2024-09-06,cancelled,6,49
SUB00250,ACC00250,PLN_STARTER,2023-02-08,2024-08-14,cancelled,4,49
SUB00251,ACC00251,PLN_SCALE,2023-02-08,2023-12-06,cancelled,66,799
SUB00252,ACC00252,PLN_STARTER,2023-02-08,2023-03-09,cancelled,4,49
SUB00253,ACC00253,PLN_SCALE,2023-02-08,2024-01-11,cancelled,62,799
SUB00254,ACC00254,PLN_SCALE,2023-02-08,2023-07-15,cancelled,113,799
SUB00255,ACC00255,PLN_GROWTH,2023-02-08,2023-08-25,cancelled,22,199
SUB00256,ACC00256,PLN_SCALE,2023-02-09,2023-05-22,cancelled,106,799
SUB00257,ACC00257,PLN_STARTER,2023-02-09,2023-06-15,cancelled,4,49
SUB00258,ACC00258,PLN_GROWTH,2023-02-09,2024-09-08,cancelled,18,199
SUB00259,ACC00259,PLN_ENTERPRISE,2023-02-09,2023-11-14,cancelled,314,2499
SUB00260,ACC00260,PLN_GROWTH,2023-02-09,2023-08-02,cancelled,21,199
SUB00261,ACC00261,PLN_GROWTH,2023-02-10,2023-07-03,cancelled,20,199
SUB00262,ACC00262,PLN_SCALE,2023-02-10,2024-01-01,cancelled,78,799
SUB00263,ACC00263,PLN_SCALE,2023-02-10,2025-05-28,cancelled,88,799
SUB00264,ACC00264,PLN_GROWTH,2023-02-10,2024-01-23,cancelled,17,199
SUB00265,ACC00265,PLN_STARTER,2023-02-10,2025-05-13,cancelled,4,49
SUB00266,ACC00266,PLN_GROWTH,2023-02-10,2023-06-28,cancelled,23,199
SUB00267,ACC00267,PLN_GROWTH,2023-02-10,2024-02-24,cancelled,17,199
SUB00268,ACC00268,PLN_STARTER,2023-02-10,2024-12-22,cancelled,4,49
SUB00269,ACC00269,PLN_ENTERPRISE,2023-02-10,2023-05-04,cancelled,554,2499
SUB00270,ACC00270,PLN_STARTER,2023-02-10,2023-06-11,cancelled,4,49
SUB00271,ACC00271,PLN_SCALE,2023-02-10,2023-11-08,cancelled,63,799
SUB00272,ACC00272,PLN_SCALE,2023-02-10,2023-05-22,cancelled,100,799
SUB00273,ACC00273,PLN_ENTERPRISE,2023-02-11,2023-04-26,cancelled,396,2499
SUB00274,ACC00274,PLN_STARTER,2023-02-11,2023-03-01,cancelled,4,49
SUB00275,ACC00275,PLN_SCALE,2023-02-11,2023-05-17,cancelled,81,799
SUB00276,ACC00276,PLN_GROWTH,2023-02-11,2023-04-06,cancelled,16,199
SUB00277,ACC00277,PLN_SCALE,2023-02-11,2023-04-16,cancelled,102,799
SUB00278,ACC00278,PLN_STARTER,2023-02-11,2023-05-13,cancelled,5,49
SUB00279,ACC00279,PLN_ENTERPRISE,2023-02-12,2023-09-02,cancelled,524,2499
SUB00280,ACC00280,PLN_ENTERPRISE,2023-02-12,2024-08-24,cancelled,505,2499
SUB00281,ACC00281,PLN_STARTER,2023-02-12,2024-03-25,cancelled,4,49
SUB00282,ACC00282,PLN_STARTER,2023-02-12,2024-01-15,cancelled,5,49
SUB00283,ACC00283,PLN_GROWTH,2023-02-12,2023-03-08,cancelled,16,199
SUB00284,ACC00284,PLN_GROWTH,2023-02-12,2023-04-22,cancelled,16,199
SUB00285,ACC00285,PLN_STARTER,2023-02-12,2024-09-11,cancelled,5,49
SUB00286,ACC00286,PLN_GROWTH,2023-02-13,2023-05-16,cancelled,16,199
SUB00287,ACC00287,PLN_ENTERPRISE,2023-02-13,2023-03-10,cancelled,500,2499
SUB00288,ACC00288,PLN_STARTER,2023-02-13,2023-05-01,cancelled,5,49
SUB00289,ACC00289,PLN_STARTER,2023-02-13,2023-09-20,cancelled,4,49
SUB00290,ACC00290,PLN_SCALE,2023-02-13,2024-02-28,cancelled,112,799
SUB00291,ACC00291,PLN_STARTER,2023-02-13,2023-06-25,cancelled,4,49
SUB00292,ACC00292,PLN_ENTERPRISE,2023-02-13,2023-09-20,cancelled,557,2499
SUB00293,ACC00293,PLN_STARTER,2023-02-13,2024-12-26,cancelled,5,49
SUB00294,ACC00294,PLN_STARTER,2023-02-13,2024-01-01,cancelled,4,49
SUB00295,ACC00295,PLN_SCALE,2023-02-13,,active,71,799
SUB00296,ACC00296,PLN_STARTER,2023-02-14,2023-08-19,cancelled,5,49
SUB00297,ACC00297,PLN_STARTER,2023-02-14,2024-08-18,cancelled,4,49
SUB00298,ACC00298,PLN_STARTER,2023-02-15,2023-04-01,cancelled,5,49
SUB00299,ACC00299,PLN_ENTERPRISE,2023-02-15,2023-03-15,cancelled,479,2499
SUB00300,ACC00300,PLN_ENTERPRISE,2023-02-15,2024-07-03,cancelled,389,2499
SUB00301,ACC00301,PLN_GROWTH,2023-02-15,2024-07-26,cancelled,15,199
SUB00302,ACC00302,PLN_STARTER,2023-02-15,2023-10-20,cancelled,4,49
SUB00303,ACC00303,PLN_GROWTH,2023-02-15,2023-04-10,cancelled,13,199
SUB00304,ACC00304,PLN_ENTERPRISE,2023-02-15,2023-10-23,cancelled,353,2499
SUB00305,ACC00305,PLN_STARTER,2023-02-15,2023-09-27,cancelled,5,49
SUB00306,ACC00306,PLN_GROWTH,2023-02-15,2024-03-11,cancelled,18,199
SUB00307,ACC00307,PLN_ENTERPRISE,2023-02-15,2023-05-22,cancelled,546,2499
SUB00308,ACC00308,PLN_STARTER,2023-02-16,2023-08-26,cancelled,4,49
SUB00309,ACC00309,PLN_SCALE,2023-02-16,2025-09-20,cancelled,84,799
SUB00310,ACC00310,PLN_STARTER,2023-02-16,2024-02-06,cancelled,3,49
SUB00311,ACC00311,PLN_GROWTH,2023-02-16,2023-03-25,cancelled,14,199
SUB00312,ACC00312,PLN_GROWTH,2023-02-17,2023-06-04,cancelled,23,199
