account_id,snapshot_month,cohort_month,is_cohort_month,plan_id,mrr,acquisition_channel,region,segment,months_since_cohort
ACC00007,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,2
ACC00007,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,3
ACC00007,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,4
ACC00007,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,5
ACC00007,2023-07-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,6
ACC00007,2023-08-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,7
ACC00007,2023-09-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,8
ACC00007,2023-10-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,9
ACC00007,2023-11-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,10
ACC00007,2023-12-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,11
ACC00007,2024-01-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,12
ACC00007,2024-02-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,13
ACC00007,2024-03-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,14
ACC00007,2024-04-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,15
ACC00007,2024-05-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,16
ACC00007,2024-06-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,17
ACC00007,2024-07-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,18
ACC00007,2024-08-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,19
ACC00007,2024-09-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,20
ACC00007,2024-10-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,21
ACC00007,2024-11-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,22
ACC00007,2024-12-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,23
ACC00007,2025-01-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,24
ACC00007,2025-02-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,25
ACC00007,2025-03-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,26
ACC00007,2025-04-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,27
ACC00007,2025-05-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,28
ACC00007,2025-06-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,29
ACC00008,2023-01-01,2023-01-01,1,PLN_SCALE,799,Organic Search,North America,Mid-Market,0
ACC00008,2023-02-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,1
ACC00008,2023-03-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,2
ACC00008,2023-04-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,3
ACC00008,2023-05-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,4
ACC00008,2023-06-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,5
ACC00008,2023-07-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,6
ACC00008,2023-08-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,7
ACC00008,2023-09-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,8
ACC00008,2023-10-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,9
ACC00008,2023-11-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,10
ACC00008,2023-12-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,11
ACC00008,2024-01-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,12
ACC00008,2024-02-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,13
ACC00008,2024-03-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,14
ACC00008,2024-04-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,15
ACC00008,2024-05-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,16
ACC00008,2024-06-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,17
ACC00008,2024-07-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,18
ACC00008,2024-08-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,19
ACC00008,2024-09-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,20
ACC00008,2024-10-01,2023-01-01,0,PLN_SCALE,799,Organic Search,North America,Mid-Market,21
ACC00009,2023-01-01,2023-01-01,1,PLN_STARTER,49,Paid Social,APAC,SMB,0
ACC00009,2023-02-01,2023-01-01,0,PLN_STARTER,49,Paid Social,APAC,SMB,1
ACC00009,2023-03-01,2023-01-01,0,PLN_STARTER,49,Paid Social,APAC,SMB,2
ACC00010,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Paid Social,APAC,SMB,0
ACC00010,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,APAC,SMB,1
ACC00010,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,APAC,SMB,2
ACC00010,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,APAC,SMB,3
ACC00010,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,APAC,SMB,4
ACC00010,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,APAC,SMB,5
ACC00010,2023-07-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,APAC,SMB,6
ACC00010,2023-08-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,APAC,SMB,7
ACC00010,2023-09-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,APAC,SMB,8
ACC00010,2023-10-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,APAC,SMB,9
ACC00011,2023-01-01,2023-01-01,1,PLN_STARTER,49,Organic Search,North America,SMB,0
ACC00011,2023-02-01,2023-01-01,0,PLN_STARTER,49,Organic Search,North America,SMB,1
ACC00011,2023-03-01,2023-01-01,0,PLN_STARTER,49,Organic Search,North America,SMB,2
ACC00011,2023-04-01,2023-01-01,0,PLN_STARTER,49,Organic Search,North America,SMB,3
ACC00011,2023-05-01,2023-01-01,0,PLN_STARTER,49,Organic Search,North America,SMB,4
ACC00011,2023-06-01,2023-01-01,0,PLN_STARTER,49,Organic Search,North America,SMB,5
ACC00011,2023-07-01,2023-01-01,0,PLN_STARTER,49,Organic Search,North America,SMB,6
ACC00011,2023-08-01,2023-01-01,0,PLN_STARTER,49,Organic Search,North America,SMB,7
ACC00012,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,0
ACC00012,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,1
ACC00012,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,2
ACC00012,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,3
ACC00012,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,4
ACC00012,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,5
ACC00012,2023-07-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,6
ACC00012,2023-08-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,7
ACC00012,2023-09-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,8
ACC00012,2023-10-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,9
ACC00012,2023-11-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,10
ACC00012,2023-12-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,11
ACC00012,2024-01-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,12
ACC00012,2024-02-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,13
ACC00012,2024-03-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,14
ACC00012,2024-04-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,15
ACC00012,2024-05-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,16
ACC00012,2024-06-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,17
ACC00012,2024-07-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,18
ACC00012,2024-08-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,19
ACC00012,2024-09-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,20
ACC00012,2024-10-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,21
ACC00012,2024-11-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,22
ACC00012,2024-12-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,23
ACC00012,2025-01-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,24
ACC00012,2025-02-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,25
ACC00012,2025-03-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,26
ACC00012,2025-04-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,27
ACC00012,2025-05-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,28
ACC00012,2025-06-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,29
ACC00012,2025-07-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,30
ACC00012,2025-08-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,Latin America,Mid-Market,31
ACC00013,2023-01-01,2023-01-01,1,PLN_STARTER,49,Organic Search,APAC,SMB,0
ACC00013,2023-02-01,2023-01-01,0,PLN_STARTER,49,Organic Search,APAC,SMB,1
ACC00013,2023-03-01,2023-01-01,0,PLN_STARTER,49,Organic Search,APAC,SMB,2
ACC00013,2023-04-01,2023-01-01,0,PLN_STARTER,49,Organic Search,APAC,SMB,3
ACC00014,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Organic Search,North America,SMB,0
ACC00014,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,1
ACC00014,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,2
ACC00014,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,3
ACC00014,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,4
ACC00014,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,5
ACC00014,2023-07-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,6
ACC00014,2023-08-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,7
ACC00014,2023-09-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,8
ACC00015,2023-01-01,2023-01-01,1,PLN_SCALE,799,Organic Search,Latin America,Enterprise,0
ACC00015,2023-02-01,2023-01-01,0,PLN_SCALE,799,Organic Search,Latin America,Enterprise,1
ACC00015,2023-03-01,2023-01-01,0,PLN_SCALE,799,Organic Search,Latin America,Enterprise,2
ACC00015,2023-04-01,2023-01-01,0,PLN_SCALE,799,Organic Search,Latin America,Enterprise,3
ACC00015,2023-05-01,2023-01-01,0,PLN_SCALE,799,Organic Search,Latin America,Enterprise,4
ACC00015,2023-06-01,2023-01-01,0,PLN_SCALE,799,Organic Search,Latin America,Enterprise,5
ACC00015,2023-07-01,2023-01-01,0,PLN_SCALE,799,Organic Search,Latin America,Enterprise,6
ACC00015,2023-08-01,2023-01-01,0,PLN_SCALE,799,Organic Search,Latin America,Enterprise,7
ACC00015,2023-09-01,2023-01-01,0,PLN_SCALE,799,Organic Search,Latin America,Enterprise,8
ACC00015,2023-10-01,2023-01-01,0,PLN_SCALE,799,Organic Search,Latin America,Enterprise,9
ACC00015,2023-11-01,2023-01-01,0,PLN_SCALE,799,Organic Search,Latin America,Enterprise,10
ACC00016,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Paid Search,India,Mid-Market,0
ACC00016,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,India,Mid-Market,1
ACC00016,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,India,Mid-Market,2
ACC00016,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,India,Mid-Market,3
ACC00016,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,India,Mid-Market,4
ACC00016,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,India,Mid-Market,5
ACC00017,2023-01-01,2023-01-01,1,PLN_STARTER,49,Organic Search,Europe,SMB,0
ACC00017,2023-02-01,2023-01-01,0,PLN_STARTER,49,Organic Search,Europe,SMB,1
ACC00017,2023-03-01,2023-01-01,0,PLN_STARTER,49,Organic Search,Europe,SMB,2
ACC00017,2023-04-01,2023-01-01,0,PLN_STARTER,49,Organic Search,Europe,SMB,3
ACC00017,2023-05-01,2023-01-01,0,PLN_STARTER,49,Organic Search,Europe,SMB,4
ACC00017,2023-06-01,2023-01-01,0,PLN_STARTER,49,Organic Search,Europe,SMB,5
ACC00017,2023-07-01,2023-01-01,0,PLN_STARTER,49,Organic Search,Europe,SMB,6
ACC00017,2023-08-01,2023-01-01,0,PLN_STARTER,49,Organic Search,Europe,SMB,7
ACC00018,2023-01-01,2023-01-01,1,PLN_SCALE,799,Partner,APAC,Mid-Market,0
ACC00018,2023-02-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,1
ACC00018,2023-03-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,2
ACC00018,2023-04-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,3
ACC00018,2023-05-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,4
ACC00018,2023-06-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,5
ACC00018,2023-07-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,6
ACC00018,2023-08-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,7
ACC00018,2023-09-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,8
ACC00018,2023-10-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,9
ACC00018,2023-11-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,10
ACC00018,2023-12-01,2023-01-01,0,PLN_SCALE,799,Partner,APAC,Mid-Market,11
ACC00019,2023-01-01,2023-01-01,1,PLN_STARTER,49,Referral,North America,SMB,0
ACC00019,2023-02-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,1
ACC00019,2023-03-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,2
ACC00019,2023-04-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,3
ACC00019,2023-05-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,4
ACC00019,2023-06-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,5
ACC00019,2023-07-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,6
ACC00019,2023-08-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,7
ACC00019,2023-09-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,8
ACC00019,2023-10-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,9
ACC00019,2023-11-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,10
ACC00019,2023-12-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,11
ACC00019,2024-01-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,12
ACC00019,2024-02-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,13
ACC00019,2024-03-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,14
ACC00019,2024-04-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,15
ACC00019,2024-05-01,2023-01-01,0,PLN_STARTER,49,Referral,North America,SMB,16
ACC00020,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Organic Search,North America,SMB,0
ACC00020,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,1
ACC00020,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,2
ACC00020,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,3
ACC00020,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,4
ACC00020,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,5
ACC00020,2023-07-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,6
ACC00020,2023-08-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,7
ACC00020,2023-09-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,8
ACC00020,2023-10-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,9
ACC00020,2023-11-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,10
ACC00020,2023-12-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,11
ACC00020,2024-01-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,12
ACC00020,2024-02-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,13
ACC00020,2024-03-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,14
ACC00020,2024-04-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,15
ACC00020,2024-05-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,16
ACC00020,2024-06-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,17
ACC00020,2024-07-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,18
ACC00020,2024-08-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,SMB,19
ACC00021,2023-01-01,2023-01-01,1,PLN_STARTER,49,Partner,North America,SMB,0
ACC00021,2023-02-01,2023-01-01,0,PLN_STARTER,49,Partner,North America,SMB,1
ACC00021,2023-03-01,2023-01-01,0,PLN_STARTER,49,Partner,North America,SMB,2
ACC00021,2023-04-01,2023-01-01,0,PLN_STARTER,49,Partner,North America,SMB,3
ACC00022,2023-01-01,2023-01-01,1,PLN_STARTER,49,Paid Search,North America,SMB,0
ACC00022,2023-02-01,2023-01-01,0,PLN_STARTER,49,Paid Search,North America,SMB,1
ACC00022,2023-03-01,2023-01-01,0,PLN_STARTER,49,Paid Search,North America,SMB,2
ACC00022,2023-04-01,2023-01-01,0,PLN_STARTER,49,Paid Search,North America,SMB,3
ACC00023,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Paid Search,North America,SMB,0
ACC00023,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,1
ACC00023,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,2
ACC00023,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,3
ACC00023,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,4
ACC00023,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,5
ACC00023,2023-07-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,6
ACC00023,2023-08-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,7
ACC00023,2023-09-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,8
ACC00024,2023-01-01,2023-01-01,1,PLN_SCALE,799,Paid Search,Latin America,Mid-Market,0
ACC00024,2023-02-01,2023-01-01,0,PLN_SCALE,799,Paid Search,Latin America,Mid-Market,1
ACC00025,2023-01-01,2023-01-01,1,PLN_STARTER,49,Paid Social,North America,SMB,0
ACC00025,2023-02-01,2023-01-01,0,PLN_STARTER,49,Paid Social,North America,SMB,1
ACC00025,2023-03-01,2023-01-01,0,PLN_STARTER,49,Paid Social,North America,SMB,2
ACC00025,2023-04-01,2023-01-01,0,PLN_STARTER,49,Paid Social,North America,SMB,3
ACC00025,2023-05-01,2023-01-01,0,PLN_STARTER,49,Paid Social,North America,SMB,4
ACC00025,2023-06-01,2023-01-01,0,PLN_STARTER,49,Paid Social,North America,SMB,5
ACC00025,2023-07-01,2023-01-01,0,PLN_STARTER,49,Paid Social,North America,SMB,6
ACC00025,2023-08-01,2023-01-01,0,PLN_STARTER,49,Paid Social,North America,SMB,7
ACC00025,2023-09-01,2023-01-01,0,PLN_STARTER,49,Paid Social,North America,SMB,8
ACC00025,2023-10-01,2023-01-01,0,PLN_STARTER,49,Paid Social,North America,SMB,9
ACC00025,2023-11-01,2023-01-01,0,PLN_STARTER,49,Paid Social,North America,SMB,10
